id,category,productName,description
1,batteries,duracell coppertop alkaline aa batteries 40count,power boost ingredients guaranteed for 12 years in storage 1 trusted battery brand long lasting performance
2,batteries,duracell coppertop alkaline aaa batteries 40count,power boost ingredients guaranteed for 12 years in storage 1 trusted battery brand long lasting performance
3,batteries,duracell 9v alkaline batteries 8count,longlasting batteries designed for dependability guaranteed 5 years in storage 1 trusted battery brand
4,batteries,duracell c alkaline batteries 14count,longlasting batteries designed for dependability guaranteed 10 years in storage 1 trusted battery brand
5,batteries,duracell 2032 lithium coin batteries 12count,our longest lasting lithium coin battery ever compatible with apple airtag child safety bitter taste discourages swallowing child secure packaging guaranteed 10 years in storage
6,batteries,duracell d alkaline batteries 14count,longlasting batteries designed for dependability guaranteed 10 years in storage 1 trusted battery brand
7,batteries,jackery explorer 550 portable power station,500w output power 1000w peak high power large capacity 550wh multiple input out ports charge up to 7 devices simultaneously station features 1 ac outlet 2 dc ports 1 car port 3 usba ports multiple charging methods solar panel car outlets wall charge
8,batteries,jackery explorer 2000 pro portable power station,2220w output power 4400w peak high power large capacity 2160wh multiple input out ports charge up to 8 devices simultaneously station features 3 ac outlets 2 usba ports 2 usbc ports 1 car port multiple charging methods solar panel car outlets wall charge
9,cameras camcorders,gopro hero11 black action camera bundle,also includes shorty hand grip spare enduro battery 2 total compact case 64gb microsd 5k video 27mp photos waterproof up to 33 feet builtin wifi bluetooth and voice control webcam and live streaming functionality
10,cameras camcorders,insta360 x3 57k 360 action camera adventure bundle,"Insta360 X3 captures immersive 5.7K 360° HDR video with dual 48MP sensors for exceptional clarity. Shoot in 4K single-lens mode with wide-angle options. FlowState stabilization and horizon leveling ensure smooth, steady footage."
11,cameras camcorders,dji mini 3 drone aerial camera bundle,less than 249g 055lbs ultralight and foldable gimbal with 4k hdr camera 38min flight time and true vertical shooting 38kph level 5 wind resistance includes 64gb sd card and nd filter set
12,cameras camcorders,gopro hero10 black action camera bundle,also includes extra batterycharger compact case and 64gb microsd 5k video 20mp photos waterproof up to 33 feet builtin wifi bluetooth and voice control webcam and live streaming functionality
13,cameras camcorders,insta360 go 3 action camera bundle,includes pendant easy clip and pivot stand accessories also includes 64gb microsd card detachable camera for ultimate mounting flexibility and convenience control camera remotely with action pod ipx4 waterproofing
14,cameras camcorders,dji mini 3 pro drone bundle,less than 055lbs ultralight and foldable tridirectional obstacle sensing with 48mp camera 34min flight time and 4k hdr video true vertical shooting and focus track includes 2 extra batteries battery charger and 128gb microsd
15,cameras camcorders,autel robotics evo lite premium bundle drone with remote controller android and ios compatible orange,get crisp vibrant details at night with autels moonlight algorithm even with the iso cranked high fly farther with crisp clear visuals with autel skylink and a transmission range of 74 miles fly confidently with new ultrawide angle obstacle avoidance
16,desktop computers pcs,lenovo ideacentre 3i desktop 13th gen intel core i513400 windows 11,13th gen intel core i513400 10core processor wifi 6 2x2160 gig and bluetooth 50 integrated intel uhd 730 graphics wired keyboard wired mouse microsoft windows 11 home 64bit
17,desktop computers pcs,dell xps tower 13th gen intel core i713700 geforce rtx 4060ti windows 11,13th gen intel core i713700 16core processor nvidia geforce rtx 4060ti 8gb killer wifi 6e ax1675 2x2 gig and bluetooth 53 dell multimedia keyboard wired mouse 1 year dell onsite service after remote diagnosis
18,desktop computers pcs,mac mini apple m2 chip 8core cpu 10core gpu 8gb memory 256gb ssd silver,m2 chip for exceptional speed and performance 8core cpu packs up to 18 percent faster performance to fly through workflows1 10core gpu with up to 35 percent faster performance for graphicsintensive apps1 16core neural engine for advanced machine learning
19,desktop computers pcs,dell inspiron 27 7000 series allinone touchscreen desktop 13th gen intel core i71355u geforce mx550 1080p windows 11,13th gen intel core i71355u processor 27 touchscreen infinityedge fhd 1920 x 1080 display nvidia geforce mx550 2gb 1tb solid state drive intel wifi 6e 2x2160 gig and bluetooth 52
20,desktop computers pcs,hp 238 touchscreen allinone desktop amd ryzen 5 7520u 1080p windows 11,microsoft windows 11 home amd ryzen 5 7520u processor wifi 6 2x2160 gig and bluetooth 53 hp true vision 720p hd tilt privacy camera hp white wired keyboard mouse
21,desktop computers pcs,dell inspiron desktop 13th gen intel core i713700 geforce rtx 3060 windows 11,13th gen intel core i713700 16core processor nvidia geforce rtx 3060 12gb intel wifi 6 2x2160 gig and bluetooth tray load dvd drive reads writes to dvdcd microsoft windows 11 home 64bit
22,desktop computers pcs,dell inspiron small form desktop 13th gen intel core i513400 windows 11 pro,13th gen intel core i513400 10core processor realtek wifi 5 2x2160 gig and bluetooth 50 no optical drive dell keyboard mouse microsoft windows 11 pro
23,desktop computers pcs,mac mini apple m2 pro chip 10core cpu 16core gpu 16gb memory 512gb ssd silver,m2 chip for exceptional speed and performance 8core cpu packs up to 18 percent faster performance to fly through workflows1 10core gpu with up to 35 percent faster performance for graphicsintensive apps1 16core neural engine for advanced machine learning
24,desktop computers pcs,hp envy desktop 13th gen intel core i713700 windows 11 professional,13th gen intel core i713700 16core processor wifi 6 2x2 gig and bluetooth 53 intel uhd graphics 770 hp black wireless keyboard and mouse combo microsoft windows 11 professional 64bit
25,desktop computers pcs,acer aspire desktop 13th gen intel core i513400 windows 11,13th gen intel core i513400 10core processor intel wifi 6e 2x2160 gig and bluetooth 53 usb wired keyboard and wired optical mouse microsoft windows 11 home 2x hdmi
26,desktop computers pcs,msi aegis r gaming desktop 13th gen intel core i713700f geforce rtx 4070 windows 11,13th gen intel core i713700f processor nvidia geforce rtx 4070 12gb 1tb solid state drive 2tb hard drive msi gaming keyboard mouse liquid cooling 240
27,desktop computers pcs,mac studio apple m2 max chip with 12core cpu 30core gpu 512gb ssd,m2 max chip for exceptional performance 12core cpu packs up to 18x faster performance than 27inch imac to push the boundaries of your workflow 30core gpu with up to 36x faster performance than 27inch imac for graphicsintensive pro workflows 16core neural engine for advanced machine learning 32gb of unified memory to run multiple demanding pro apps
28,desktop computers pcs,mac mini apple m2 chip 8core cpu 10core gpu 8gb memory 512gb ssd silver,m2 chip for exceptional speed and performance 8core cpu packs up to 18 percent faster performance to fly through workflows1 10core gpu with up to 35 percent faster performance for graphicsintensive apps1 16core neural engine for advanced machine learning
29,desktop computers pcs,asus rog strix gaming desktop 13th gen intel core i713700f nvidia geforce rtx 4060 windows 11 home,13th gen intel core i713700f 21ghz 16core processor nvidia geforce rtx4060 dual 8gb gddr6 wifi 6e80211ax dual band 11 bluetooth 53 high definition 71 channel audio
30,desktop computers pcs,hp victus gaming desktop 13th gen intel core i713700f geforce rtx 4060 window 11,13th gen intel core i713700f 16core processor nvidia geforce rtx 4060 8gb graphics wifi 6 2x2160 gig and bluetooth 53 hyperx alloy core rgb wired keyboard and hyperx pulsefire core wired mouse 3x displayport
